Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Value,Standard Units,Assay Organism
CHEMBL394996,821.92,C=CCNC(=O)O[C@@H]1[C@H](C)[C@@H](OC)/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(N2CCOCC2)=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H]1C)C4=O,0.24,ug.mL-1,Escherichia coli
CHEMBL507180,660.58,COC(=O)C1=CC(=O)C=C(OC)[C@]12Oc1cc(C)cc(OC(=O)c3c(O)cc(C)cc3Oc3c(OC)cc(O)cc3C(=O)OC)c1C2=O,30300.0,nM,Escherichia coli
CHEMBL244030,370.66,CCOC(=O)/C(=C/Nc1cc(Cl)cc(Cl)c1)c1ccc(Cl)cc1,50.0,ug.mL-1,Escherichia coli
CHEMBL4067790,475.69,CCCCCCCCn1c2ccc(-c3csc(N)n3)cc2c2cc(-c3csc(N)n3)ccc21,512.0,ug.mL-1,Escherichia coli
CHEMBL488906,337.75,CCOC(=O)/C(=C\Nc1ccc(F)cc1F)c1ccc(Cl)cc1,47.3,ug.mL-1,Escherichia coli
CHEMBL463837,440.71,C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=C[C@@H](O)[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,70400.0,nM,Escherichia coli
CHEMBL158,435.44,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.06,ug.mL-1,Escherichia coli
CHEMBL505342,1219.55,CC(C)C[C@H](NC(=O)[C@H](CS)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CS)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,50.0,ug.mL-1,Escherichia coli
CHEMBL3248598,383.44,CCCN[C@@H]1[C@@H](CO)O[C@H](O[C@H]([C@@H](O)CN)[C@H](N)[C@H](O)CO)[C@H](O)[C@H]1O,200.0,uL/ml,Escherichia coli
CHEMBL3250389,251.67,CCn1cc(C(=O)O)c(=O)c2cc(Cl)ccc21,20.0,ug.mL-1,Escherichia coli
CHEMBL443,253.28,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,256.0,ug.mL-1,Escherichia coli
CHEMBL500281,185.22,C#CCNC(=O)[C@H](O)C(C)(C)CO,500000.0,nM,Escherichia coli
CHEMBL4249997,452.61,COc1ccc(/C=C2/S/C(=N/c3nnc(C45CC6CC(CC(C6)C4)C5)s3)NC2=O)cc1,99.5,nM,Escherichia coli
CHEMBL1630688,362.16,O=C(Nc1nnc(-c2cccc(Br)c2)o1)c1ccc(F)cc1,256.0,ug.mL-1,Escherichia coli
CHEMBL1630678,323.74,O=C(Nc1nnc(-c2ccc(F)cc2)o1)c1ccc(Cl)s1,256.0,ug.mL-1,Escherichia coli
CHEMBL1413910,292.29,O=C1C=C(c2ccccc2)OC(=O)C1C(=O)c1ccccc1,10000.0,nM,Escherichia coli
CHEMBL222913,523.57,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@H]12)c1csc(N)n1,0.25,ug.mL-1,Escherichia coli
CHEMBL458003,301.21,CC1Oc2ccc3ccccc3c2-c2nn[se]c21,500.0,ug.mL-1,Escherichia coli
CHEMBL3736083,531.5,CO/N=C1/CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2nc(N)c(F)cc2F)CC1(C)CNC1CC1,16.0,ug.mL-1,Escherichia coli ATCC 25922
CHEMBL233890,335.41,CN1CCN(c2nc(Nc3cccc(O)c3)nc3ccccc23)CC1,64.0,ug.mL-1,Escherichia coli
CHEMBL244497,447.54,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCOS4(=O)=O)C3)[C@H](C)C12,0.049,ug.mL-1,Escherichia coli
CHEMBL244310,446.55,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCNS4(=O)=O)C3)[C@H](C)C12,0.049,ug.mL-1,Escherichia coli
CHEMBL4472997,3059.34,CCCC(=O)O[C@H]1[C@@H]2O[C@H]3O[C@H](Cn4cc(CN)nn4)[C@@H](O[C@H]4O[C@H](Cn5cc(CN)nn5)[C@@H](O[C@H]5O[C@H](Cn6cc(CN)nn6)[C@@H](O[C@H]6O[C@H](Cn7cc(CN)nn7)[C@@H](O[C@H]7O[C@H](Cn8cc(CN)nn8)[C@@H](O[C@H]8O[C@H](Cn9cc(CN)nn9)[C@@H](O[C@H]9O[C@H](Cn%10cc(CN)nn%10)[C@@H](O[C@@H](O[C@@H]2Cn2cc(CN)nn2)[C@@H]1OC(=O)CCC)[C@H](OC(=O)CCC)[C@H]9OC(=O)CCC)[C@H](OC(=O)CCC)[C@H]8OC(=O)CCC)[C@H](OC(=O)CCC)[C@H]7OC(=O)CCC)[C@H](OC(=O)CCC)[C@H]6OC(=O)CCC)[C@H](OC(=O)CCC)[C@H]5OC(=O)CCC)[C@H](OC(=O)CCC)[C@H]4OC(=O)CCC)[C@H](OC(=O)CCC)[C@H]3OC(=O)CCC,32000.0,nM,Escherichia coli
CHEMBL3309462,323.78,O=C1CSC(c2ccc(F)cc2)N1c1ccc(Cl)cc1O,70.0,ug.mL-1,Escherichia coli
CHEMBL2270946,495.03,COc1cc(Cc2nnc(Nc3ccc(Cl)cc3)s2)c(S(=O)(=O)N2CCCC2)cc1OC,1.52,10'-2 umol/ml,Escherichia coli
CHEMBL3314588,652.61,CO[C@H]1CN(c2nc(-c3cncc(NCCN4CCN(C)CC4)n3)c(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,46.0,ug.mL-1,Escherichia coli
CHEMBL514420,464.71,Nn1c(SCC(=O)Nc2ccc(F)c(Cl)c2)nnc1-c1cc(F)c(Cl)cc1Cl,6.25,ug.mL-1,Escherichia coli
CHEMBL457493,430.27,Nn1c(SCC(=O)Nc2ccc(F)cc2)nnc1-c1cc(F)c(Cl)cc1Cl,6.25,ug.mL-1,Escherichia coli
CHEMBL458189,446.72,Nn1c(SCC(=O)Nc2ccc(Cl)cc2)nnc1-c1cc(F)c(Cl)cc1Cl,12.5,ug.mL-1,Escherichia coli
CHEMBL3361283,557.82,COc1ccc2[nH]c3c(c2c1)C[C@@]1(C)[C@@H](CC[C@]2(C)[C@@H]1CC=C1[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C(=O)O)CC[C@]12C)C3(C)C,31.2,ug.mL-1,Escherichia coli
CHEMBL3361292,571.85,COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)Cc5c([nH]c6c(OC)cccc56)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,100.0,ug.mL-1,Escherichia coli
CHEMBL2260315,461.01,CCOC(=O)C1=C(C)NC(=S)NC1c1ccc(NC(=S)Nc2ccccc2Cl)cc1,10.0,ug.mL-1,Escherichia coli
CHEMBL3288873,977.15,N=C(N)NCCCC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCNC(=N)N)C(=O)Nc1cccc(C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCNC(=N)N)C(N)=O)c1,120.0,ug.mL-1,Escherichia coli
CHEMBL3039597,1390.73,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,0.5,ug.mL-1,Escherichia coli
CHEMBL2282904,392.46,c1cc(COc2cccc3cccnc23)cc(COc2cccc3cccnc23)c1,,,Escherichia coli
CHEMBL130,323.13,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,4.0,ug.mL-1,Escherichia coli
CHEMBL281359,461.35,O=C(Cn1c(C2CCNCC2)nc2cc(Cl)c(Cl)cc21)NNC(=O)Nc1ccccc1,100000.0,nM,Escherichia coli
CHEMBL438177,1053.21,CCC(=O)N(C)CC1OC(OC2C(NC(=O)OC(C)(C)C)CC(NC(=O)OC(C)(C)C)C(OC3OC(CNC(=O)OC(C)(C)C)C(O)C(O)C3NC(=O)OC(C)(C)C)C2O)C(O)C(NC(=O)OC(C)(C)C)C1O,64.0,ug.mL-1,Escherichia coli
CHEMBL4176662,804.39,CC[C@@H](C)[C@@H]1NC(=O)[C@@H](CCC(C)C)NC(=O)[C@@H](C(C)C)NC(=O)[C@H](Cc2c[nH]c3ccc(Cl)cc23)NC(=O)[C@@H]([C@@H](O)C(N)=O)NC(=O)[C@H](CCCN)NC1=O,128.0,ug.mL-1,Escherichia coli
